[2026-09-06 17:09:45] RESULT=GENUINE | CONFIDENCE=100.00% | RISK=LOW | ACTION=ALLOW | MESSAGE=Voice appears genuine.
[2026-09-06 17:20:47] RESULT=GENUINE | CONFIDENCE=99.50% | RISK=LOW | ACTION=ALLOW | MESSAGE=Voice appears genuine.
[2026-09-06 17:21:16] RESULT=SPOOFED | CONFIDENCE=99.00% | RISK=HIGH | ACTION=BLOCK | MESSAGE=Potential voice impersonation detected.
[2026-09-06 17:21:22] RESULT=SPOOFED | CONFIDENCE=99.00% | RISK=HIGH | ACTION=BLOCK | MESSAGE=Potential voice impersonation detected.
[2026-09-06 17:21:42] RESULT=SPOOFED | CONFIDENCE=100.00% | RISK=HIGH | ACTION=BLOCK | MESSAGE=Potential voice impersonation detected.
[2026-09-06 17:22:09] RESULT=GENUINE | CONFIDENCE=100.00% | RISK=LOW | ACTION=ALLOW | MESSAGE=Voice appears genuine.
[2026-09-06 17:22:29] RESULT=SPOOFED | CONFIDENCE=100.00% | RISK=HIGH | ACTION=BLOCK | MESSAGE=Potential voice impersonation detected.
[2026-09-06 17:26:49] RESULT=SPOOFED | CONFIDENCE=100.00% | RISK=HIGH | ACTION=BLOCK | MESSAGE=Potential voice impersonation detected.
[2026-09-08 20:47:06] RESULT=SPOOFED | CONFIDENCE=100.00% | RISK=HIGH | ACTION=BLOCK | MESSAGE=Potential voice impersonation detected.
[2026-09-08 20:48:28] RESULT=SPOOFED | CONFIDENCE=100.00% | RISK=HIGH | ACTION=BLOCK | MESSAGE=Potential voice impersonation detected.
[2026-09-08 21:12:15] RESULT=GENUINE | CONFIDENCE=50.00% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-08 21:12:49] RESULT=GENUINE | CONFIDENCE=100.00% | RISK=LOW | ACTION=ALLOW | MESSAGE=Voice appears genuine.
[2026-09-08 21:13:09] RESULT=SPOOFED | CONFIDENCE=97.50% | RISK=HIGH | ACTION=BLOCK | MESSAGE=Potential voice impersonation detected.
[2026-09-08 21:15:08] RESULT=GENUINE | CONFIDENCE=59.00% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-08 21:18:49] RESULT=GENUINE | CONFIDENCE=71.00% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-08 23:55:09] RESULT=SPOOFED | CONFIDENCE=55.60% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-08 23:55:19] RESULT=SPOOFED | CONFIDENCE=57.20% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-08 23:55:22] RESULT=SPOOFED | CONFIDENCE=57.20% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-08 23:55:30] RESULT=SPOOFED | CONFIDENCE=54.20% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-08 23:55:40] RESULT=SPOOFED | CONFIDENCE=57.40% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-08 23:56:11] RESULT=SPOOFED | CONFIDENCE=57.40% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-09 00:03:39] RESULT=GENUINE | CONFIDENCE=95.20% | RISK=LOW | ACTION=ALLOW | MESSAGE=Voice appears genuine.
[2026-09-09 00:04:34] RESULT=GENUINE | CONFIDENCE=95.20% | RISK=LOW | ACTION=ALLOW | MESSAGE=Voice appears genuine.
[2026-09-09 00:04:59] RESULT=SPOOFED | CONFIDENCE=92.20% | RISK=HIGH | ACTION=BLOCK | MESSAGE=Potential voice impersonation detected.
[2026-09-09 00:09:43] RESULT=SPOOFED | CONFIDENCE=60.00% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-09 00:10:04] RESULT=SPOOFED | CONFIDENCE=68.20% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-09 00:11:51] RESULT=SPOOFED | CONFIDENCE=57.00% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-09 14:45:07] RESULT=SPOOFED | CONFIDENCE=56.40% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-09 14:46:01] RESULT=SPOOFED | CONFIDENCE=66.40% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-09 14:46:21] RESULT=SPOOFED | CONFIDENCE=54.80% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
[2026-09-09 14:46:46] RESULT=SPOOFED | CONFIDENCE=50.60% | RISK=MEDIUM | ACTION=VERIFY | MESSAGE=Voice authenticity could not be confirmed.
